duration_seconds,quiz_seconds,quiz_score,wrong_count,answer_change_count,max_answer_changes_per_question,hidden_count,focus_ratio,total_input_events,active_ratio,face_absent_seconds,longest_face_absence_seconds,absence_count,multiple_faces_seconds,multiple_faces_detected_count,label
859,58,80,2,4,0,1,0.932,13,0.042,1,1,1,0,0,1
514,171,78,2,0,0,0,0.957,124,0.147,11,9,0,0,0,0
537,203,71,3,3,0,0,0.846,14,0.062,13,5,1,0,0,1
550,67,82,2,3,1,0,0.863,113,0.187,20,10,2,0,0,0
22,32,73,3,2,0,2,0.789,207,0.219,14,4,2,0,0,1
28,8,78,2,3,3,2,0.954,181,0.283,12,9,1,0,0,1
20,17,85,2,2,2,2,0.89,215,0.212,5,0,0,0,0,1
851,130,100,0,2,2,1,0.825,11,0.012,14,1,2,0,0,1
205,147,87,1,3,2,6,0.561,101,0.167,12,11,1,0,0,1
626,93,87,1,1,1,2,0.781,11,0.005,3,3,0,0,0,1
20,21,12,7,2,2,1,0.815,37,0.205,18,11,1,0,0,1
15,10,94,1,1,1,0,0.952,187,0.152,0,0,2,0,0,1
371,76,82,2,3,2,1,0.861,198,0.085,9,0,2,0,0,0
32,9,96,0,3,0,0,0.945,143,0.202,8,8,2,0,0,1
663,157,94,1,4,0,2,0.937,62,0.277,89,27,3,0,0,1
299,77,92,1,0,0,1,0.99,86,0.317,10,2,2,0,0,0
514,98,75,2,4,3,1,0.861,91,0.349,12,7,1,0,0,0
604,112,100,0,0,0,1,0.988,101,0.227,0,0,0,0,0,0
316,159,87,1,1,1,1,0.919,134,0.218,18,7,2,0,0,0
284,207,82,2,2,2,0,0.831,166,0.254,38,18,2,0,0,1
28,14,81,2,3,0,2,0.96,92,0.174,8,8,2,0,0,1
460,93,92,1,4,3,1,0.811,50,0.171,6,0,1,0,0,0
294,115,83,2,1,0,0,0.93,55,0.218,19,6,1,0,0,0
704,134,70,3,2,0,0,0.895,7,0.075,14,10,0,0,0,1
540,133,80,2,0,0,2,0.957,214,0.231,17,11,0,0,0,0
231,179,94,1,1,1,10,0.556,161,0.157,11,6,2,0,0,1
699,70,100,0,1,0,2,0.836,91,0.156,4,4,2,0,0,0
32,10,5,10,4,1,1,0.784,106,0.344,7,5,0,0,0,1
311,164,81,2,4,2,0,0.858,54,0.2,3,3,1,0,0,0
297,193,78,2,4,2,2,0.873,90,0.165,13,8,1,0,0,0
505,172,90,1,3,2,0,0.79,46,0.171,56,24,2,0,0,1
307,118,87,1,1,1,2,0.836,58,0.312,3,3,2,0,0,0
660,164,91,1,3,3,2,0.888,48,0.16,10,5,2,0,0,0
260,150,81,2,1,1,0,0.891,181,0.342,5,5,2,0,0,0
344,202,98,0,1,0,1,0.904,127,0.208,1,1,2,0,0,0
584,121,81,2,3,1,2,0.792,54,0.226,6,2,1,0,0,0
281,126,91,1,4,0,0,0.929,188,0.265,0,0,0,0,0,0
23,17,9,10,1,1,0,0.946,212,0.096,8,2,0,0,0,1
21,5,1,9,0,0,2,0.88,139,0.294,17,7,1,0,0,1
583,208,98,0,3,3,1,0.884,87,0.169,16,10,2,0,0,0
521,73,70,3,4,2,9,0.322,207,0.108,19,0,1,0,0,1
539,144,79,2,3,2,2,0.932,174,0.264,15,1,2,0,0,0
364,189,98,0,2,2,0,0.891,208,0.086,7,7,2,0,0,0
293,85,87,1,3,0,1,0.874,113,0.274,3,3,1,0,0,0
706,115,75,2,3,3,1,0.796,155,0.175,8,7,2,16,1,1
608,154,100,0,4,3,0,0.968,64,0.322,53,22,4,0,0,1
586,142,79,2,2,2,8,0.573,85,0.134,15,0,1,0,0,1
561,128,75,2,4,2,0,0.83,18,0.03,19,1,0,0,0,1
11,10,93,1,2,2,1,0.847,61,0.263,6,6,1,0,0,1
371,121,91,1,2,1,0,0.929,86,0.189,57,52,2,0,0,1
500,123,89,1,2,2,2,0.871,47,0.225,5,5,2,0,0,0
678,198,86,1,2,2,0,0.883,15,0.011,9,7,2,0,0,1
43,13,30,10,0,0,1,0.983,124,0.166,11,4,1,0,0,1
334,77,82,2,1,1,6,0.6,94,0.1,16,4,2,0,0,1
597,133,77,2,3,1,2,0.947,106,0.141,19,8,2,0,0,0
414,50,98,0,3,3,1,0.968,75,0.171,1,1,2,0,0,0
469,77,70,3,1,1,1,0.997,140,0.204,7,7,2,0,0,0
322,109,98,0,0,0,7,0.253,194,0.17,4,0,1,0,0,1
382,61,75,2,3,3,2,0.906,208,0.334,41,35,1,0,0,1
182,142,78,2,1,1,10,0.617,99,0.118,12,3,2,0,0,1
40,27,71,3,3,1,2,0.879,99,0.082,2,1,2,0,0,1
206,63,40,6,9,7,2,0.496,25,0.059,46,25,2,0,0,1
642,128,88,1,0,0,9,0.257,142,0.174,12,7,2,0,0,1
674,62,71,3,4,3,0,0.94,15,0.043,16,2,0,0,0,1
533,59,91,1,4,3,2,0.936,107,0.189,15,2,0,0,0,0
649,62,85,2,3,0,5,0.545,148,0.183,6,6,0,0,0,1
526,48,80,2,1,1,1,0.829,165,0.276,18,4,2,0,0,0
658,157,82,2,2,1,0,0.878,117,0.241,3,3,2,0,0,0
512,164,82,2,2,1,2,0.88,181,0.181,14,9,2,0,0,0
597,109,75,2,1,1,1,0.906,140,0.096,7,7,0,0,0,0
231,28,40,6,7,5,4,0.465,39,0.105,35,19,2,0,0,1
878,115,87,1,4,3,1,0.908,7,0.008,7,7,0,0,0,1
415,132,81,2,1,1,2,0.958,124,0.108,2,2,1,0,0,0
251,164,89,1,1,1,0,0.986,52,0.1,3,3,2,0,0,0
307,101,91,1,4,3,1,0.805,113,0.293,6,0,1,0,0,0
866,175,74,3,2,0,0,0.804,6,0.045,8,8,0,0,0,1
596,52,90,1,0,0,8,0.479,65,0.289,12,3,1,0,0,1
494,85,82,2,0,0,0,0.825,105,0.255,2,2,0,0,0,0
449,120,97,0,1,1,9,0.62,81,0.33,5,4,0,0,0,1
270,123,77,2,4,3,0,0.794,96,0.105,3,2,0,0,0,0
506,152,71,3,0,0,1,0.965,117,0.327,13,0,1,17,2,1
563,187,70,3,1,1,2,0.837,165,0.18,12,7,1,0,0,0
590,181,96,0,4,1,1,0.829,109,0.12,5,5,1,0,0,0
615,84,89,1,3,3,1,0.992,143,0.129,16,12,2,0,0,0
666,75,96,0,3,0,1,0.887,195,0.28,10,0,2,0,0,0
527,80,80,2,4,3,0,0.925,203,0.263,3,3,0,0,0,0
282,136,71,3,3,2,2,0.974,139,0.325,45,33,1,0,0,1
243,103,87,1,0,0,2,0.888,199,0.117,0,0,1,0,0,0
16,30,81,2,0,0,2,0.821,53,0.151,20,6,1,0,0,1
324,183,91,1,2,2,0,0.788,190,0.311,20,2,0,0,0,0
390,109,74,3,0,0,0,0.991,80,0.153,3,3,1,0,0,0
652,97,99,0,0,0,0,0.899,195,0.315,54,43,4,0,0,1
439,191,73,3,4,0,0,0.993,107,0.082,6,0,2,0,0,0
278,133,95,0,2,2,0,0.929,212,0.275,13,0,0,0,0,0
42,31,95,0,0,0,0,0.868,167,0.222,19,7,0,0,0,0
91,29,50,5,4,7,5,0.688,33,0.087,26,19,0,0,0,1
479,65,82,2,2,2,1,0.798,118,0.27,11,3,2,0,0,0
256,126,97,0,4,1,2,0.838,210,0.149,9,1,2,0,0,0
677,185,87,1,0,0,2,0.792,99,0.202,3,0,0,0,0,0
305,72,50,5,8,8,6,0.621,39,0.036,41,30,2,0,0,1
16,21,34,8,2,1,2,0.813,45,0.323,20,1,0,0,0,1
480,78,77,2,3,1,10,0.598,75,0.295,17,5,1,0,0,1
290,51,20,8,11,6,4,0.493,16,0.113,35,14,2,0,0,1
625,190,98,0,0,0,1,0.867,114,0.222,4,4,2,0,0,0
24,18,9,10,1,1,2,0.978,112,0.227,17,0,0,0,0,1
349,47,85,2,2,2,2,0.865,194,0.188,0,0,2,0,0,0
691,114,90,1,3,0,1,0.978,129,0.295,0,0,0,0,0,0
701,206,95,0,4,3,2,0.991,9,0.016,9,3,1,0,0,1
767,141,76,2,2,1,2,0.947,14,0.021,15,6,1,0,0,1
394,199,93,1,1,1,0,0.979,104,0.149,18,5,0,0,0,0
588,157,95,0,3,3,2,0.968,200,0.204,11,1,2,0,0,0
254,47,99,0,0,0,0,0.951,150,0.314,14,10,1,33,1,1
35,20,0,9,4,2,2,0.863,73,0.276,18,3,0,0,0,1
748,45,81,2,4,2,1,0.801,8,0.054,1,1,0,0,0,1
601,145,83,2,3,2,1,0.832,52,0.304,5,0,0,0,0,0
39,20,95,0,3,0,2,0.937,197,0.266,14,11,1,0,0,1
250,65,97,0,0,0,0,0.894,44,0.11,16,0,0,0,0,0
263,52,50,5,9,8,3,0.676,31,0.055,21,13,0,0,0,1
371,55,95,0,0,0,1,0.876,57,0.28,59,24,3,0,0,1
241,84,91,1,4,2,1,0.786,159,0.117,15,6,0,0,0,0
559,174,86,1,0,0,2,0.78,58,0.291,17,0,1,0,0,0
307,194,80,2,2,0,0,0.963,70,0.167,18,5,2,0,0,0
741,119,76,2,2,2,1,0.978,3,0.022,17,2,1,0,0,1
698,195,86,1,4,0,0,0.889,5,0.05,7,0,1,0,0,1
644,157,92,1,3,3,1,0.883,219,0.283,20,8,1,0,0,0
235,46,91,1,1,1,9,0.293,218,0.346,4,4,2,0,0,1
294,186,91,1,0,0,9,0.661,188,0.198,12,2,2,0,0,1
247,109,96,0,1,0,4,0.651,93,0.161,17,3,2,0,0,1
478,57,71,3,3,2,1,0.823,112,0.213,2,2,0,0,0,0
857,134,95,0,2,2,0,0.961,4,0.042,2,1,0,0,0,1
492,144,81,2,4,3,2,0.903,147,0.192,15,4,0,0,0,0
30,33,72,3,1,1,0,0.899,118,0.244,19,9,0,0,0,1
383,91,100,0,2,1,1,0.84,205,0.083,96,56,3,0,0,1
482,58,91,1,2,2,1,0.935,133,0.258,20,0,1,0,0,0
311,91,95,0,4,1,10,0.344,99,0.156,14,5,1,0,0,1
594,201,84,2,3,1,1,0.961,70,0.241,1,1,0,0,0,0
398,206,74,3,2,2,0,0.81,35,0.302,0,0,2,0,0,0
262,80,82,2,2,0,0,0.983,47,0.182,16,3,0,0,0,0
549,173,98,0,4,0,6,0.411,80,0.25,16,11,1,0,0,1
27,7,22,8,1,1,2,0.888,139,0.212,11,5,0,0,0,1
369,109,93,1,3,1,0,0.833,210,0.348,2,0,1,0,0,0
553,206,74,3,3,1,6,0.654,81,0.167,5,4,1,0,0,1
664,168,72,3,4,0,1,0.999,145,0.212,0,0,1,0,0,0
102,65,70,3,8,5,6,0.657,8,0.047,27,14,2,0,0,1
643,108,77,2,4,2,0,0.827,46,0.337,17,11,0,0,0,0
317,150,82,2,4,3,1,0.968,181,0.314,66,46,2,0,0,1
50,26,25,10,1,1,2,0.993,83,0.122,20,6,0,0,0,1
818,123,89,1,2,2,1,0.859,8,0.026,12,1,1,0,0,1
327,191,99,0,2,0,4,0.474,50,0.34,0,0,0,0,0,1
63,6,26,9,3,1,1,0.814,48,0.171,4,2,2,0,0,1
35,23,31,9,0,0,1,0.995,89,0.284,1,1,2,0,0,1
39,19,73,3,2,2,2,0.801,87,0.159,11,4,1,0,0,1
667,64,88,1,2,2,1,0.893,48,0.14,7,7,1,0,0,0
288,121,73,3,1,0,1,0.907,168,0.313,14,5,2,0,0,0
610,182,98,0,3,0,2,0.794,135,0.094,70,35,3,0,0,1
264,118,95,0,1,1,4,0.362,218,0.31,4,4,0,0,0,1
245,48,60,4,5,5,2,0.597,9,0.106,61,24,1,0,0,1
701,141,98,0,3,0,2,0.92,147,0.347,17,8,2,0,0,0
516,54,71,3,2,1,0,0.962,180,0.085,4,4,0,0,0,0
616,159,98,0,3,3,1,0.903,85,0.103,0,0,2,0,0,0
277,118,94,1,0,0,2,0.843,67,0.121,5,5,2,0,0,0
273,164,85,2,1,1,0,0.836,101,0.172,8,1,1,0,0,0
596,140,92,1,4,2,0,0.996,140,0.147,11,5,1,0,0,0
592,69,92,1,4,0,2,0.883,81,0.267,17,1,2,0,0,0
40,23,70,3,4,3,0,0.789,141,0.156,14,7,1,0,0,1
36,8,11,9,0,0,1,0.984,118,0.291,5,5,1,0,0,1
18,19,78,2,4,0,2,0.887,75,0.142,15,8,1,0,0,1
322,63,88,1,1,0,2,0.781,174,0.176,9,2,1,0,0,0
286,77,90,1,0,0,2,0.813,201,0.128,84,61,4,0,0,1
512,103,71,3,0,0,2,0.782,168,0.193,58,19,4,0,0,1
428,155,83,2,2,1,0,0.82,209,0.086,1,1,0,0,0,0
663,181,99,0,3,3,0,0.921,75,0.298,69,45,2,0,0,1
240,200,95,0,3,1,0,0.869,187,0.214,18,1,1,0,0,0
608,150,99,0,3,0,4,0.469,89,0.273,19,1,2,0,0,1
40,6,2,8,3,2,0,0.948,64,0.316,20,12,1,0,0,1
681,48,81,2,4,3,2,0.824,107,0.142,6,6,2,0,0,0
61,27,30,10,3,0,1,0.905,123,0.205,3,3,1,0,0,1
272,106,90,1,2,2,0,0.816,150,0.109,14,2,2,0,0,0
537,171,86,1,3,0,0,0.974,181,0.268,16,0,0,17,2,1
25,22,10,10,1,1,0,0.862,99,0.174,1,1,1,0,0,1
446,120,95,0,3,2,2,0.812,73,0.124,9,0,0,0,0,0
457,143,81,2,1,1,6,0.275,100,0.146,0,0,2,0,0,1
507,169,73,3,1,1,2,0.822,39,0.19,19,12,2,0,0,0
711,106,96,0,4,3,0,0.845,41,0.209,3,3,1,0,0,0
283,45,91,1,3,1,10,0.323,203,0.196,3,2,1,0,0,1
471,148,77,2,2,2,1,0.952,9,0.054,5,5,0,0,0,1
301,149,73,3,2,2,0,0.915,80,0.191,11,5,0,0,0,0
242,83,70,3,3,0,0,0.839,94,0.096,18,9,2,0,0,0
620,104,97,0,3,3,2,0.928,149,0.124,5,4,2,0,0,0
370,205,72,3,4,1,2,0.848,159,0.102,10,8,2,28,1,1
704,207,81,2,2,2,0,0.953,128,0.294,5,5,2,0,0,0
25,28,100,0,4,1,2,0.95,182,0.347,19,10,2,0,0,1
27,7,82,2,4,2,1,0.962,159,0.328,13,9,1,0,0,1
33,11,87,1,1,1,2,0.907,189,0.109,8,4,0,0,0,1
323,40,40,6,7,6,5,0.56,29,0.086,23,20,1,0,0,1
14,13,78,2,0,0,1,0.871,97,0.147,16,7,1,0,0,1
565,110,91,1,0,0,9,0.362,160,0.203,16,3,1,0,0,1
548,90,89,1,1,1,1,0.807,77,0.109,13,1,2,0,0,0
398,46,82,2,2,0,0,0.947,116,0.087,15,8,0,0,0,0
65,24,15,10,4,3,1,0.915,62,0.322,11,7,1,0,0,1
359,57,85,2,4,3,9,0.624,84,0.107,0,0,2,0,0,1
69,13,8,9,1,1,2,0.995,39,0.202,2,2,0,0,0,1
822,76,78,2,0,0,1,0.998,16,0.026,3,3,2,0,0,1
479,57,89,1,1,1,2,0.898,41,0.346,0,0,2,0,0,0
619,50,74,3,0,0,0,0.894,99,0.337,15,7,1,0,0,0
582,118,80,2,2,2,2,0.858,207,0.118,20,9,2,0,0,0
476,93,79,2,2,2,0,1.0,144,0.296,4,1,1,0,0,0
41,20,91,1,1,0,2,0.923,59,0.312,10,10,2,0,0,1
706,203,85,2,4,1,2,0.986,54,0.237,2,2,0,0,0,0
366,145,87,1,1,1,6,0.66,46,0.257,6,6,0,0,0,1
35,30,96,0,2,2,0,0.989,102,0.143,6,2,2,0,0,1
306,104,76,2,2,0,2,0.876,63,0.262,92,50,4,0,0,1
367,208,84,2,1,0,2,0.867,216,0.343,13,4,0,0,0,0
33,25,25,10,0,0,2,0.82,185,0.237,12,10,0,0,0,1
612,108,79,2,0,0,2,0.877,18,0.035,18,4,0,0,0,1
434,197,77,2,2,0,0,0.829,155,0.086,1,1,2,0,0,0
708,171,98,0,2,2,1,0.826,133,0.261,20,8,0,0,0,0
35,5,76,2,1,0,1,0.806,125,0.204,13,6,0,0,0,1
269,47,75,2,0,0,1,0.855,124,0.256,81,29,2,0,0,1
308,182,82,2,2,1,0,0.819,87,0.295,17,8,1,0,0,0
346,73,94,1,3,2,1,0.909,105,0.326,13,3,0,0,0,0
284,176,79,2,4,2,1,0.824,66,0.187,16,6,1,0,0,0
672,97,97,0,2,0,0,0.979,155,0.202,17,9,1,0,0,0
290,52,40,6,12,7,6,0.592,45,0.087,54,28,1,0,0,1
30,4,90,1,0,0,0,0.89,186,0.13,2,2,1,0,0,1
278,100,93,1,3,0,2,0.984,52,0.145,7,5,1,0,0,0
36,13,17,7,2,0,0,0.865,141,0.131,17,3,2,0,0,1
455,194,100,0,0,0,0,0.798,75,0.255,45,29,1,0,0,1
245,207,82,2,4,0,5,0.284,181,0.139,1,1,2,0,0,1
271,52,91,1,1,1,0,0.945,89,0.194,3,3,0,0,0,0
432,105,95,0,2,2,1,0.899,188,0.236,92,19,3,0,0,1
384,122,76,2,3,3,0,0.914,187,0.198,5,5,2,0,0,0
242,62,81,2,2,2,2,0.953,215,0.167,4,4,1,0,0,0
37,21,97,0,2,1,0,0.928,44,0.222,20,8,2,0,0,1
399,133,75,2,3,2,1,0.83,109,0.302,6,4,2,0,0,0
511,209,75,2,4,3,1,0.877,114,0.31,49,21,2,0,0,1
566,151,80,2,1,0,8,0.415,124,0.16,20,12,0,0,0,1
307,187,88,1,4,1,0,0.921,189,0.294,18,3,2,0,0,0
178,27,50,5,10,3,4,0.729,10,0.049,34,15,0,0,0,1
112,44,70,3,5,4,2,0.511,40,0.041,38,26,2,0,0,1
492,141,93,1,4,2,1,0.914,113,0.134,12,6,1,12,1,1
683,94,89,1,1,1,2,0.878,62,0.124,20,2,2,0,0,0
